namn,lat,lon,elev,synlig_inom,scale,rotation
ANKAR,56.8790818,14.8015807,105.00
# KALAS-raden (publika ingangen index.html): stapunkt + riktning mot clownen.
#   Geometri (clownen MONTERAD 2026-06-05):
#     clown    = 1 m rakt syd om ANKAR  -> 56.8790728, 14.8015807
#     stapunkt = telefonen 1 m fran clownen (clownen fyller rutan da)
#                = 2 m rakt syd om ANKAR -> 56.8790638
#     bearing  = 0.0 (anvandaren tittar rakt norrut mot clownen)
#   Justering: varje meter syd = -0.0000090 pa lat.
KALAS,56.8790638,14.8015807,105.00,0.0
#SPARR_1, 56.8789476, 14.8016552, 56.8789553, 14.8014751
#SPARR_2, 56.8790002, 14.8016609, 56.8790490, 14.8014922
#SPARR_3, 56.8790956, 14.8016752, 56.8791029, 14.8015004
#SPARR_4, 56.8792178, 14.8016934, 56.8792252, 14.8015190

#SPARR_1, 56.8790838, 14.8014922, 56.8790778, 14.8016510
#SPARR_2, 56.8790379, 14.8015300, 56.879061, 14.8016058

# Pyramidmarkör (Metod B, styv, platt på pyramidtoppen vid ANKAR/Tarta_3):
#   bearing 5.70 = utskriftens OVERKANT pekar mot gatans norrriktning vid montering.
#     (Hamnar allt 180 grader fel: byt till 185.70)
#   elev 107.00 = mark 105.00 + pyramidhojd 2.00 m
#   0.29 = utskriftsbredd i meter (A3). Verifiera efter utskrift:
#     mat svarta ArUco-kvadraten och multiplicera med 1.714
Ballong_26.glb,56.8791108,14.8016036,108.00,30,1
Ballong_27.glb,56.8791242,14.8015733,108.00,30,1
Ballong_28.glb,56.8791456,14.8015585,108.00,30,1
Ballong_29.glb,56.8791534,14.8016041,108.00,30,1
Ballong_30.glb,56.8791633,14.8016261,108.00,30,1
Ballong_31.glb,56.8791784,14.8016,108.00,30,1
Ballong_32.glb,56.8791853,14.8015557,108.00,30,1
Ballong_33.glb,56.8792014,14.8015836,108.00,30,1
Ballong_34.glb,56.8792193,14.8016165,108.00,30,1
Ballong_35.glb,56.8792237,14.8015825,108.00,30,1
Ballong_36.glb,56.8792453,14.8015739,108.00,30,1
Ballong_37.glb,56.879246,14.8016338,108.00,30,1
Ballong_38.glb,56.8792663,14.801645,108.00,30,1
Ballong_39.glb,56.8792732,14.80159,108.00,30,1
Ballong_40.glb,56.8792861,14.801613,108.00,30,1
Ballong_41.glb,56.8793073,14.8016371,108.00,30,1
Ballong_42.glb,56.8793101,14.8015822,108.00,30,1
Ballong_43.glb,56.8793307,14.8015724,108.00,30,1
Ballong_44.glb,56.8793324,14.8016503,108.00,30,1
Ballong_45.glb,56.8793496,14.8016017,108.00,30,1
Ballong_46.glb,56.8793585,14.8016442,108.00,30,1
Ballong_47.glb,56.8793754,14.801611,108.00,30,1
#Tarta_1.glb,56.8790597,14.8015435,105.00,30,1
#Tarta_2.glb,56.8790567,14.8016105,105.00,30,1
Tarta_3.glb,56.8790818,14.8015807,105.00,30,0.8,90
#Tarta_4.glb,56.8791059,14.8015504,105.00,30,1
#Tarta_5.glb,56.8791028,14.8016176,105.00,30,1
